word,word_diac,ipa,id,meaning_en,cefr,freq,meaning_cn
كان,كَانَ,kāna,1,had,A1,8762.24,v：是；存在；发生
لا,لَا,lā,2,don't,A1,6631.53,neg：不；没有
الله,اللَّه,ālllahi,3,God,B1,5251.23,n：真主（伊斯兰教中的神）
قال,قَالَ,qāla,4,say,A1,5226.59,v：说；告诉；声称
كل,كُلّ,kulli,5,all,A2,3485.03,adj：每个；全部；整个
عام,عَام,ʿāmin,6,year,A1,1871.54,n：年；年度；年份
عمل,عَمَل,ʿamalin,7,work,A1,1859.15,n：工作；行动；作品
آخر,آخِر,ʾākhira,8,another,A1,1801.91,adj：最后的；另一个；其他的
يوم,يَوْم,yawmin,9,day,A1,1785.85,n：天；日子；日期
أي,أَي,ʾay,10,any,A1,1767.18,interrog：哪个；什么；任何
أول,أَوَّل,ʾawwalu,11,first,A1,1601.15,adj：第一；首先；最初的
بعض,بَعْض,baʿḍi,12,some,A2,1552.48,n：一些；部分；某些
إنسان,إِنْسَان,ʾinsānin,13,human,A1,1431.09,n：人；人类
دولة,دَوْلَة,dawlati,14,state,A1,1267.09,n：国家；州；政府
قبل,قَبْل,qabla,15,before,A1,1247.25,prep：在...之前；以前；之前
أمر,أَمْر,ʾamri,16,order,A1,1241.8,n：命令；事情；事务
رئيس,رَئِيس,raʾīsi,17,president,B1,1228.56,n：总统；主席；负责人
عند,عِنْدَ,inda,18,when,A1,1174.12,prep：在...那里；在...时候；拥有
مثل,مِثْل,miṯli,19,like,A1,1151.95,prep：像；如同；例如
سنة,سُنَّة,sunnati,20,year,A1,1104.76,n：年；年龄；年份
حق,حَقّ,ḥaqqi,21,right,B1,1104.07,n：权利；真理；正义
عربي,عَرَبِيّ,ʿarabiyyin,22,Arab,A1,1094.85,adj：阿拉伯的；阿拉伯语的；阿拉伯人的
كثير,كَثِير,kaṯīrin,23,many,A1,1086.97,adj：许多的；大量的；频繁的
شيء,شَيْء,shayʾin,24,something,A1,1070.4,n：事物；东西；事情
أحد,أَحَد,ʾaḥadu,25,one,A1,1029.38,pron：某人；有人；其中之一
أكثر,أَكْثَر,ʾakṯaru,26,more,A1,1011.75,adj：更多的；较多的；adv：更
كبير,كَبِير,kabīrin,27,large,A1,986.41,adj：大的；巨大的；重要的
تم,تَمَّ,tamma,28,was,B1,973.15,v：完成；结束；实现
يمكن,يُمْكِنُ,yumkinu,29,may,A1,950.94,v：可以；能够；可能
خلال,خِلال,khilāla,30,during,A1,942.4,prep：在...期间；通过；经由
واحد,وَاحِدٍ,wāḥidin,31,one,A1,905.37,num：一；一个
عدد,عَدَد,ʿadada,32,number,A1,900.83,n：数字；数量；算术
قام,قَامَ,qāma,33,made,A2,886.54,v：站起来；起床；建立
شكل,شُكْل,shukli,34,form,A2,870.44,n：形状；形式；外貌
جديد,جَدِيد,jadīdin,35,new,A1,859.27,adj：新的；新鲜的；新式的
علم,عِلْم,ʿilmi,36,science,A2,840.83,n：科学；知识；旗帜
